,sample,%cells
0,High-1,53.862660944206006
1,High-1,44.53125
2,High-1,47.07646176911544
3,High-1,42.08984375
4,High-1,39.39774153074028
5,High-1,37.95066413662239
6,High-1,41.25452352231604
7,High-1,36.943111720356406
8,High-1,31.91035218783351
9,High-1,37.47954173486088
10,High-1,43.97781299524564
11,High-1,42.34234234234234
12,High-1,40.49645390070922
13,High-1,40.54652880354505
14,High-1,41.73166926677067
15,High-2,34.3687374749499
16,High-2,30.264279624893437
17,High-2,30.093071354705273
18,High-2,29.919137466307276
19,High-2,34.00673400673401
20,High-2,30.842911877394634
21,High-2,34.68950749464668
22,High-2,34.75783475783476
23,High-2,33.98643556895252
24,High-2,30.743243243243242
25,High-2,31.402985074626866
26,High-2,31.45098039215686
27,High-2,23.97899649941657
28,High-2,27.40189445196211
29,High-2,27.480457005411907
30,High-3,38.064516129032256
31,High-3,46.43564356435643
32,High-3,44.130434782608695
33,High-3,41.71888988361683
34,High-3,39.662027833001986
35,High-3,39.60629921259842
36,High-3,44.40263405456256
37,High-3,39.14728682170543
38,High-3,41.898370086289546
39,High-3,38.11700182815356
40,High-3,38.640132669983416
41,High-3,41.289592760180994
42,High-3,38.996929375639716
43,High-3,40.78651685393258
44,High-3,43.666666666666664
0,Low-2,2.8901734104046244
0,Low-2,0.32051282051282054
0,Low-2,0.7228915662650602
0,Low-3,1.4492753623188406
0,Low-3,0.8287292817679558
0,Low-3,2.857142857142857
0,Low-1,0.8547008547008547
0,Low-2,1.6666666666666667
0,Low-3,2.2388059701492535
0,Low-2,0.5141388174807198
0,Low-3,2.7906976744186047
0,Low-1,0.0
0,Low-2,2.898550724637681
0,Low-2,0.5758157389635317
0,Low-3,0.7017543859649122
0,Low-2,2.3076923076923075
0,Low-3,0.6896551724137931
0,Low-1,1.6326530612244898
0,Low-1,0.0
0,Low-3,2.247191011235955
0,Low-2,1.12
0,Low-2,0.5747126436781609
0,Low-1,1.4150943396226414
0,Low-1,2.0408163265306123
0,Low-3,0.591715976331361
0,Low-1,1.3289036544850499
0,Low-2,1.0309278350515463
0,Low-3,3.2142857142857144
0,Low-2,1.7241379310344827
0,Low-1,0.0
0,Low-1,1.1363636363636365
0,Low-3,1.6339869281045751
0,Low-1,1.3513513513513513
0,Low-1,2.0408163265306123
0,Low-1,1.342281879194631
0,Low-2,1.8433179723502304
0,Low-3,1.6853932584269662
0,Low-1,0.0
0,Low-3,1.3729977116704806
0,Low-2,1.079136690647482
0,Low-2,1.7316017316017316
0,Low-1,0.0
0,Low-1,1.7921146953405018
0,Low-3,0.6051437216338881
0,Low-3,0.0
